fold_id,repeat,split,model,train_rows,validation_rows,train_churn_rate,validation_churn_rate,average_precision,roc_auc,accuracy,precision,recall,f1,brier,fit_seconds,encoded_features,iterations,epochs_run,best_epoch,best_val_loss
4,1,4,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6549565862450241,0.8409654565136606,0.7968056787932565,0.6377952755905512,0.5418060200668896,0.5858951175406871,0.13964563791283438,0.41674349998356774,30.0,100.0,,,
4,1,4,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6776399372826704,0.8555288966442087,0.8101153504880213,0.679324894514768,0.5384615384615384,0.6007462686567164,0.1317460834980011,33.63345590000972,30.0,,103.0,93.0,0.4485640525817871
5,1,5,majority,4508,1126,0.2653061224489796,0.2655417406749556,0.2655417406749556,0.5,0.7344582593250444,0.0,0.0,0.0,0.19502938015021862,0.00015760003589093685,,,,,
5,1,5,logistic_regression,4508,1126,0.2653061224489796,0.2655417406749556,0.6219539229303906,0.8246957815855351,0.7992895204262878,0.640926640926641,0.5551839464882943,0.5949820788530465,0.14364113089579228,0.0913476999849081,30.0,47.0,,,
5,1,5,hist_gradient_boosting,4508,1126,0.2653061224489796,0.2655417406749556,0.6127354020451132,0.8202270365142978,0.7824156305506217,0.6030534351145038,0.5284280936454849,0.5632798573975044,0.14850181666412407,0.5487366000306793,30.0,100.0,,,
5,1,5,ann,4508,1126,0.2653061224489796,0.2655417406749556,0.6197885571349138,0.818577038334149,0.7930728241563055,0.6269230769230769,0.5451505016722408,0.5831842576028623,0.14551807940006256,25.775963699968997,30.0,,79.0,69.0,0.4232025444507599
6,2,1,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00021090003428980708,,,,,
6,2,1,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.7005668565894078,0.8623430759536619,0.8251996450754214,0.7090163934426229,0.5785953177257525,0.6372007366482505,0.12773353684766692,0.09683940000832081,30.0,44.0,,,
6,2,1,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6855144895807769,0.8560782317871165,0.8074534161490683,0.664,0.5551839464882943,0.604735883424408,0.12921738182473638,0.47749999997904524,30.0,100.0,,,
6,2,1,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.7043181963472149,0.8635952369411727,0.8243123336291038,0.7044534412955465,0.5819397993311036,0.6373626373626373,0.12733085453510284,40.909954499977175,30.0,,130.0,120.0,0.42636433243751526
7,2,2,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00016900000628083944,,,,,
7,2,2,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6493080119249038,0.8490641106425605,0.8101153504880213,0.673469387755102,0.5518394648829431,0.6066176470588235,0.1351557086176002,0.09215079998830333,30.0,44.0,,,
7,2,2,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6419172340062337,0.8340644337808799,0.7959183673469388,0.648068669527897,0.5050167224080268,0.5676691729323309,0.1420786114741247,0.4414053999935277,30.0,100.0,,,
7,2,2,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6579105796578888,0.8495043866026852,0.8074534161490683,0.6694214876033058,0.5418060200668896,0.5988909426987061,0.13476748764514923,38.90054499998223,30.0,,119.0,109.0,0.4097868800163269
8,2,3,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.0002647999790497124,,,,,
8,2,3,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.7056070102431257,0.8590430258672225,0.8189884649511979,0.6954732510288066,0.5652173913043478,0.6236162361623616,0.12908152461612635,0.10385460004908964,30.0,44.0,,,
8,2,3,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6658642007995437,0.8373564054093355,0.8003549245785271,0.6622807017543859,0.5050167224080268,0.573055028462998,0.1375373616210597,0.4414713999722153,30.0,100.0,,,
8,2,3,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6875124725569409,0.8522167288707931,0.8092280390417036,0.675,0.5418060200668896,0.601113172541744,0.13179372251033783,30.89816049998626,30.0,,95.0,85.0,0.4335312843322754
9,2,4,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00018220004858449101,,,,,
9,2,4,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6340763772217379,0.8333373725623253,0.7941437444543035,0.6401673640167364,0.5117056856187291,0.5687732342007435,0.1408618584003898,0.09682410000823438,30.0,47.0,,,
9,2,4,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6349309920747337,0.8280863748727644,0.7976929902395741,0.6448979591836734,0.5284280936454849,0.5808823529411765,0.14501387197346827,0.4557020999491215,30.0,100.0,,,
9,2,4,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.631056251812895,0.8311077181587578,0.7888198757763976,0.630901287553648,0.4916387959866221,0.5526315789473685,0.1414414793252945,47.47177860001102,30.0,,150.0,148.0,0.4145524501800537
10,2,5,majority,4508,1126,0.2653061224489796,0.2655417406749556,0.2655417406749556,0.5,0.7344582593250444,0.0,0.0,0.0,0.19502938015021862,0.00023469998268410563,,,,,
10,2,5,logistic_regression,4508,1126,0.2653061224489796,0.2655417406749556,0.5956277575091117,0.8172809000578308,0.7735346358792184,0.5814814814814815,0.5250836120401338,0.5518453427065027,0.14746967391636956,0.10287539998535067,30.0,41.0,,,
10,2,5,hist_gradient_boosting,4508,1126,0.2653061224489796,0.2655417406749556,0.6069732223289225,0.8187630675407344,0.7859680284191829,0.6141732283464567,0.5217391304347826,0.5641952983725136,0.15022862285453184,0.5161285000503995,30.0,100.0,,,
10,2,5,ann,4508,1126,0.2653061224489796,0.2655417406749556,0.5983586565946045,0.8160595778754656,0.783303730017762,0.6078431372549019,0.5183946488294314,0.5595667870036101,0.14704632759094238,26.60105180001119,30.0,,81.0,71.0,0.4173292815685272
11,3,1,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.0001664000446908176,,,,,
11,3,1,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6687613890642206,0.8449986266621428,0.8181011535048802,0.6942148760330579,0.5618729096989966,0.6210720887245841,0.13477964226984615,0.09632650000276044,30.0,46.0,,,
11,3,1,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6390716829042246,0.8296414780346727,0.7923691215616682,0.6337448559670782,0.5150501672240803,0.5682656826568265,0.1428329173433359,0.4786194000043906,30.0,100.0,,,
11,3,1,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6771448016139987,0.8463719645194125,0.805678793256433,0.6739130434782609,0.5183946488294314,0.5860113421550095,0.13413800299167633,37.37770820001606,30.0,,117.0,107.0,0.39891085028648376
12,3,2,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00017129996558651328,,,,,
12,3,2,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6474661827191528,0.8428800510558543,0.7976929902395741,0.6414342629482072,0.5384615384615384,0.5854545454545454,0.13723084283979173,0.09804040001472458,30.0,47.0,,,
12,3,2,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6266470927254334,0.8389377635596916,0.7959183673469388,0.6408163265306123,0.5250836120401338,0.5772058823529411,0.1400255826175929,0.44135850004386157,30.0,100.0,,,
12,3,2,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6520085238638739,0.8412239671691468,0.80301685891748,0.6571428571428571,0.5384615384615384,0.5919117647058824,0.13827311992645264,23.641190399997868,30.0,,72.0,62.0,0.4246903359889984
13,3,3,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00016850000247359276,,,,,
13,3,3,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6517670916602698,0.8460528654290469,0.8047914818101154,0.6513409961685823,0.568561872909699,0.6071428571428571,0.13516303692014855,0.09570060000987723,30.0,46.0,,,
13,3,3,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6445211637964703,0.8341714733491671,0.7923691215616682,0.6382978723404256,0.5016722408026756,0.5617977528089888,0.1407165525881804,0.49730170000111684,30.0,100.0,,,
13,3,3,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6413441286871245,0.8410684568529558,0.7968056787932565,0.6411290322580645,0.5317725752508361,0.5813528336380256,0.13732373714447021,35.78181640000548,30.0,,112.0,102.0,0.41440513730049133
14,3,4,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00016950001008808613,,,,,
14,3,4,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6333179050921589,0.8305018338099623,0.7959183673469388,0.6342412451361867,0.5451505016722408,0.5863309352517986,0.14066451555387627,0.09785820002434775,30.0,46.0,,,
14,3,4,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6222020109015782,0.818432617581956,0.7888198757763976,0.6224899598393574,0.5183946488294314,0.5656934306569343,0.14793369464491946,0.5873680000077002,30.0,100.0,,,
14,3,4,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6313342773664521,0.8292254374484999,0.7994676131322094,0.6527196652719666,0.5217391304347826,0.5799256505576208,0.14098292589187622,32.51012130000163,30.0,,101.0,91.0,0.43126270174980164
15,3,5,majority,4508,1126,0.2653061224489796,0.2655417406749556,0.2655417406749556,0.5,0.7344582593250444,0.0,0.0,0.0,0.19502938015021862,0.00018499995348975062,,,,,
15,3,5,logistic_regression,4508,1126,0.2653061224489796,0.2655417406749556,0.6607306961142032,0.8489564165921876,0.8037300177619894,0.6638655462184874,0.5284280936454849,0.5884543761638734,0.13488241546017973,0.09652409999398515,30.0,42.0,,,
15,3,5,hist_gradient_boosting,4508,1126,0.2653061224489796,0.2655417406749556,0.6676176060504028,0.8423402474188447,0.7957371225577264,0.6443514644351465,0.5150501672240803,0.5724907063197026,0.1378406154552176,0.46422069997061044,30.0,100.0,,,
15,3,5,ann,4508,1126,0.2653061224489796,0.2655417406749556,0.6576103603545266,0.8476299474669697,0.8028419182948491,0.672645739910314,0.5016722408026756,0.5747126436781609,0.13519403338432312,43.41156570002204,30.0,,137.0,127.0,0.4321293532848358
